Year,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Playoffs,Losing_season
2013,New York Knicks,54,28,0.659,—,100.0,95.7,3.73,Y,N
2013,Brooklyn Nets,49,33,0.598,5.0,96.9,95.1,1.25,Y,N
2013,Boston Celtics,41,40,0.506,12.5,96.5,96.7,-0.62,Y,N
2013,Philadelphia 76ers,34,48,0.415,20.0,93.2,96.5,-3.51,N,Y
2013,Toronto Raptors,34,48,0.415,20.0,97.2,98.7,-1.96,N,Y
2013,Indiana Pacers,49,32,0.605,—,94.7,90.7,3.34,Y,N
2013,Chicago Bulls,45,37,0.549,4.5,93.2,92.9,-0.02,Y,N
2013,Milwaukee Bucks,38,44,0.463,11.5,98.9,100.4,-1.83,Y,Y
2013,Detroit Pistons,29,53,0.354,20.5,94.9,98.8,-4.33,N,Y
2013,Cleveland Cavaliers,24,58,0.293,25.5,96.5,101.2,-4.87,N,Y
2013,Miami Heat,66,16,0.805,—,102.9,95.0,7.03,Y,N
2013,Atlanta Hawks,44,38,0.537,22.0,98.0,97.5,-0.08,Y,N
2013,Washington Wizards,29,53,0.354,37.0,93.2,95.8,-2.78,N,Y
2013,Charlotte Bobcats,21,61,0.256,45.0,93.4,102.7,-9.29,N,Y
2013,Orlando Magic,20,62,0.244,46.0,94.1,101.1,-7.12,N,Y
