Year,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Playoffs,Losing_season
2015,Toronto Raptors,49,33,0.598,—,104.0,100.9,2.45,Y,N
2015,Boston Celtics,40,42,0.488,9.0,101.4,101.2,-0.4,Y,Y
2015,Brooklyn Nets,38,44,0.463,11.0,98.0,100.9,-3.13,Y,Y
2015,Philadelphia 76ers,18,64,0.22,31.0,92.0,101.0,-9.04,N,Y
2015,New York Knicks,17,65,0.207,32.0,91.9,101.2,-9.5,N,Y
2015,Cleveland Cavaliers,53,29,0.646,—,103.1,98.7,4.08,Y,N
2015,Chicago Bulls,50,32,0.61,3.0,100.8,97.8,2.54,Y,N
2015,Milwaukee Bucks,41,41,0.5,12.0,97.8,97.4,-0.09,Y,N
2015,Indiana Pacers,38,44,0.463,15.0,97.3,97.0,-0.23,N,Y
2015,Detroit Pistons,32,50,0.39,21.0,98.5,99.5,-1.39,N,Y
2015,Atlanta Hawks,60,22,0.732,—,102.5,97.1,4.75,Y,N
2015,Washington Wizards,46,36,0.561,14.0,98.5,97.8,0.17,Y,N
2015,Miami Heat,37,45,0.451,23.0,94.7,97.3,-2.92,N,Y
2015,Charlotte Hornets,33,49,0.402,27.0,94.2,97.3,-3.44,N,Y
2015,Orlando Magic,25,57,0.305,35.0,95.7,101.4,-5.87,N,Y
