Year,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Playoffs,Losing_season
2010,Boston Celtics,50,32,.610,—,99.2,95.6,3.37,Y,N
2010,Toronto Raptors,40,42,.488,10.0,104.1,105.9,-1.83,N,Y
2010,New York Knicks,29,53,.354,21.0,102.1,105.9,-4.01,N,Y
2010,Philadelphia 76ers,27,55,.329,23.0,97.7,101.6,-3.93,N,Y
2010,New Jersey Nets,12,70,.146,38.0,92.4,101.5,-8.93,N,Y
2010,Cleveland Cavaliers,61,21,.744,—,102.1,95.6,6.17,Y,N
2010,Milwaukee Bucks,46,36,.561,15.0,97.7,96.0,1.37,Y,N
2010,Chicago Bulls,41,41,.500,20.0,97.5,99.1,-1.64,Y,N
2010,Indiana Pacers,32,50,.390,29.0,100.8,103.8,-3.11,N,Y
2010,Detroit Pistons,27,55,.329,34.0,94.0,99.1,-5.02,N,Y
2010,Orlando Magic,59,23,.720,—,102.8,95.3,7.12,Y,N
2010,Atlanta Hawks,53,29,.646,6.0,101.7,97.0,4.44,Y,N
2010,Miami Heat,47,35,.573,12.0,96.5,94.2,1.99,Y,N
2010,Charlotte Bobcats,44,38,.537,15.0,95.3,93.8,1.30,Y,N
2010,Washington Wizards,26,56,.317,33.0,96.2,101.0,-4.72,N,Y
2010,Denver Nuggets,53,29,.646,—,106.5,102.4,4.15,Y,N
2010,Utah Jazz,53,29,.646,—,104.2,98.9,5.33,Y,N
2010,Portland Trail Blazers,50,32,.610,3.0,98.1,94.8,3.18,Y,N
2010,Oklahoma City Thunder,50,32,.610,3.0,101.5,98.0,3.55,Y,N
2010,Minnesota Timberwolves,15,67,.183,38.0,98.2,107.8,-9.06,N,Y
2010,Los Angeles Lakers,57,25,.695,—,101.7,97.0,4.78,Y,N
2010,Phoenix Suns,54,28,.659,3.0,110.2,105.3,4.67,Y,N
2010,Los Angeles Clippers,29,53,.354,28.0,95.7,102.1,-6.01,N,Y
2010,Golden State Warriors,26,56,.317,31.0,108.8,112.4,-3.28,N,Y
2010,Sacramento Kings,25,57,.305,32.0,100.0,104.4,-4.06,N,Y
2010,Dallas Mavericks,55,27,.671,—,102.0,99.3,2.66,Y,N
2010,San Antonio Spurs,50,32,.610,5.0,101.4,96.3,5.07,Y,N
2010,Houston Rockets,42,40,.512,13.0,102.4,102.7,-0.02,N,N
2010,Memphis Grizzlies,40,42,.488,15.0,102.5,104.0,-1.39,N,Y
2010,New Orleans Hornets,37,45,.451,18.0,100.2,102.7,-2.27,N,Y
2011,Boston Celtics,56,26,.683,—,96.5,91.1,4.83,Y,N
2011,New York Knicks,42,40,.512,14.0,106.5,105.7,0.48,Y,N
2011,Philadelphia 76ers,41,41,.500,15.0,99.0,97.5,1.01,Y,N
2011,New Jersey Nets,24,58,.293,32.0,94.2,100.4,-6.28,N,Y
2011,Toronto Raptors,22,60,.268,34.0,99.1,105.4,-6.28,N,Y
2011,Chicago Bulls,62,20,.756,—,98.6,91.3,6.53,Y,N
2011,Indiana Pacers,37,45,.451,25.0,99.8,100.9,-1.38,Y,Y
2011,Milwaukee Bucks,35,47,.427,27.0,91.9,92.7,-1.02,N,Y
2011,Detroit Pistons,30,52,.366,32.0,97.0,100.6,-3.78,N,Y
2011,Cleveland Cavaliers,19,63,.232,43.0,95.5,104.5,-8.88,N,Y
2011,Miami Heat,58,24,.707,—,102.1,94.6,6.76,Y,N
2011,Orlando Magic,52,30,.634,6.0,99.2,93.7,4.92,Y,N
2011,Atlanta Hawks,44,38,.537,14.0,95.0,95.8,-1.10,Y,N
2011,Charlotte Bobcats,34,48,.415,24.0,93.3,97.3,-4.08,N,Y
2011,Washington Wizards,23,59,.280,35.0,97.3,104.7,-7.30,N,Y
2011,Oklahoma City Thunder,55,27,.671,—,104.8,101.0,3.81,Y,N
2011,Denver Nuggets,50,32,.610,5.0,107.5,102.7,4.81,Y,N
2011,Portland Trail Blazers,48,34,.585,7.0,96.3,94.8,1.85,Y,N
2011,Utah Jazz,39,43,.476,16.0,99.4,101.3,-1.44,N,Y
2011,Minnesota Timberwolves,17,65,.207,38.0,101.1,107.7,-5.97,N,Y
2011,Los Angeles Lakers,57,25,.695,—,101.5,95.4,6.01,Y,N
2011,Phoenix Suns,40,42,.488,17.0,105.0,105.9,-0.46,N,Y
2011,Golden State Warriors,36,46,.439,21.0,103.4,105.7,-2.00,N,Y
2011,Los Angeles Clippers,32,50,.390,25.0,98.6,101.8,-2.71,N,Y
2011,Sacramento Kings,24,58,.293,33.0,99.4,104.7,-4.80,N,Y
2011,San Antonio Spurs,61,21,.744,—,103.7,98.0,5.86,Y,N
2011,Dallas Mavericks,57,25,.695,4.0,100.2,96.0,4.41,Y,N
2011,New Orleans Hornets,46,36,.561,15.0,94.9,94.0,1.28,Y,N
2011,Memphis Grizzlies,46,36,.561,15.0,99.9,97.6,2.55,Y,N
2011,Houston Rockets,43,39,.524,18.0,105.9,103.7,2.37,N,N
2012,Boston Celtics,39,27,.591,—,91.8,89.3,2.26,Y,N
2012,New York Knicks,36,30,.545,3.0,97.8,94.7,2.39,Y,N
2012,Philadelphia 76ers,35,31,.530,4.0,93.6,89.4,3.59,Y,N
2012,Toronto Raptors,23,43,.348,16.0,90.7,94.0,-3.67,N,Y
2012,New Jersey Nets,22,44,.333,17.0,93.1,99.1,-6.37,N,Y
2012,Chicago Bulls,50,16,.758,—,96.3,88.2,7.43,Y,N
2012,Indiana Pacers,42,24,.636,8.0,97.7,94.4,2.60,Y,N
2012,Milwaukee Bucks,31,35,.470,19.0,99.0,98.7,-0.23,N,Y
2012,Detroit Pistons,25,41,.379,25.0,90.9,95.7,-5.19,N,Y
2012,Cleveland Cavaliers,21,45,.318,29.0,93.0,100.2,-7.34,N,Y
2012,Miami Heat,46,20,.697,—,98.5,92.5,5.72,Y,N
2012,Atlanta Hawks,40,26,.606,6.0,96.6,93.2,2.67,Y,N
2012,Orlando Magic,37,29,.561,9.0,94.2,93.4,0.46,Y,N
2012,Washington Wizards,20,46,.303,26.0,93.6,98.4,-5.14,N,Y
2012,Charlotte Bobcats,7,59,.106,39.0,87.0,100.9,-13.96,N,Y
2012,Oklahoma City Thunder,47,19,.712,—,103.1,96.9,6.44,Y,N
2012,Denver Nuggets,38,28,.576,9.0,104.1,101.2,3.16,Y,N
2012,Utah Jazz,36,30,.545,11.0,99.7,99.0,0.92,Y,N
2012,Portland Trail Blazers,28,38,.424,19.0,97.2,97.8,-0.22,N,Y
2012,Minnesota Timberwolves,26,40,.394,21.0,97.9,100.1,-1.83,N,Y
2012,Los Angeles Lakers,41,25,.621,—,97.3,95.9,1.96,Y,N
2012,Los Angeles Clippers,40,26,.606,1.0,97.5,95.0,2.82,Y,N
2012,Phoenix Suns,33,33,.500,8.0,98.4,98.6,0.29,N,N
2012,Golden State Warriors,23,43,.348,18.0,97.8,101.2,-2.79,N,Y
2012,Sacramento Kings,22,44,.333,19.0,98.8,104.4,-4.95,N,Y
2012,San Antonio Spurs,50,16,.758,—,103.7,96.5,7.28,Y,N
2012,Memphis Grizzlies,41,25,.621,9.0,95.0,93.0,2.43,Y,N
2012,Dallas Mavericks,36,30,.545,14.0,95.8,94.8,1.78,Y,N
2012,Houston Rockets,34,32,.515,16.0,98.1,97.9,0.57,N,N
2012,New Orleans Hornets,21,45,.318,29.0,89.6,93.4,-3.11,N,Y
2013,New York Knicks,54,28,.659,—,100.0,95.7,3.73,Y,N
2013,Brooklyn Nets,49,33,.598,5.0,96.9,95.1,1.25,Y,N
2013,Boston Celtics,41,40,.506,12.5,96.5,96.7,-0.62,Y,N
2013,Philadelphia 76ers,34,48,.415,20.0,93.2,96.5,-3.51,N,Y
2013,Toronto Raptors,34,48,.415,20.0,97.2,98.7,-1.96,N,Y
2013,Indiana Pacers,49,32,.605,—,94.7,90.7,3.34,Y,N
2013,Chicago Bulls,45,37,.549,4.5,93.2,92.9,-0.02,Y,N
2013,Milwaukee Bucks,38,44,.463,11.5,98.9,100.4,-1.83,Y,Y
2013,Detroit Pistons,29,53,.354,20.5,94.9,98.8,-4.33,N,Y
2013,Cleveland Cavaliers,24,58,.293,25.5,96.5,101.2,-4.87,N,Y
2013,Miami Heat,66,16,.805,—,102.9,95.0,7.03,Y,N
2013,Atlanta Hawks,44,38,.537,22.0,98.0,97.5,-0.08,Y,N
2013,Washington Wizards,29,53,.354,37.0,93.2,95.8,-2.78,N,Y
2013,Charlotte Bobcats,21,61,.256,45.0,93.4,102.7,-9.29,N,Y
2013,Orlando Magic,20,62,.244,46.0,94.1,101.1,-7.12,N,Y
2013,Oklahoma City Thunder,60,22,.732,—,105.7,96.5,9.15,Y,N
2013,Denver Nuggets,57,25,.695,3.0,106.1,101.1,5.37,Y,N
2013,Utah Jazz,43,39,.524,17.0,98.0,98.1,0.30,N,N
2013,Portland Trail Blazers,33,49,.402,27.0,97.5,100.7,-2.53,N,Y
2013,Minnesota Timberwolves,31,51,.378,29.0,95.7,98.1,-1.83,N,Y
2013,Los Angeles Clippers,56,26,.683,—,101.1,94.6,6.43,Y,N
2013,Golden State Warriors,47,35,.573,9.0,101.2,100.3,1.32,Y,N
2013,Los Angeles Lakers,45,37,.549,11.0,102.2,101.0,1.48,Y,N
2013,Sacramento Kings,28,54,.341,28.0,100.2,105.1,-4.26,N,Y
2013,Phoenix Suns,25,57,.305,31.0,95.2,101.6,-5.75,N,Y
2013,San Antonio Spurs,58,24,.707,—,103.0,96.6,6.67,Y,N
2013,Memphis Grizzlies,56,26,.683,2.0,93.4,89.3,4.32,Y,N
2013,Houston Rockets,45,37,.549,13.0,106.0,102.5,3.69,Y,N
2013,Dallas Mavericks,41,41,.500,17.0,101.1,101.7,-0.24,N,N
2013,New Orleans Hornets,27,55,.329,31.0,94.1,97.9,-3.12,N,Y
2014,Toronto Raptors,48,34,.585,—,101.3,98.0,2.55,Y,N
2014,Brooklyn Nets,44,38,.537,4.0,98.5,99.5,-1.58,Y,N
2014,New York Knicks,37,45,.451,11.0,98.6,99.4,-1.40,N,Y
2014,Boston Celtics,25,57,.305,23.0,96.2,100.7,-4.97,N,Y
2014,Philadelphia 76ers,19,63,.232,29.0,99.5,109.9,-10.66,N,Y
2014,Indiana Pacers,56,26,.683,—,96.7,92.3,3.63,Y,N
